File Name,Date,method,Notes
HeLa_171110_Sgr_r8,171110,43iii_abrf-like_Top20_CID-HCD,...
HeLa_171110_Slgr_r9,171110,43iii_abrf-like_Top20_CID-HCD,...
HeLa_171113_Sgr_r1,171113,43ii_abrf-like_Top20_CID-HCD,...before cal
HeLa_171114_Sgr_r1,171114,43ii_abrf-like_Top20_CID-HCD,...
HeLa_171114_Sgr_r2,171114,43ii_abrf-like_Top20_CID-HCD,...
HeLa_171114_Sg2_r3,171114,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171114_Sg2_r4,171114,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171114_Sg2_r5,171114,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171114_Sg2_r6,171114,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171114_Sg2_r5fm,171114,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171114_Sg2_r6fm,171114,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171114_Sg2_r7,171114,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171127_r1_Lgr,171127,36_Waters_Top20_CID-HCD_AGC1e4-35ms_5B,...
HeLa_171127_r2_Sgr,171127,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171127_r3_Sgr300,171127,43v_abrf-like_Top20_CID-HCD,...
HeLa_171127_r4_Lgr,171127,36_Waters_Top20_CID-HCD_AGC1e4-35ms_5B,...
HeLa_171127_r5_Sgr,171127,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171127_r6_Sgr300,171127,43v_abrf-like_Top20_CID-HCD,...
HeLa_171127_r7_Lgr,171127,36_Waters_Top20_CID-HCD_AGC1e4-35ms_5B,...
HeLa_171127_r8_Sgr,171127,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171127_r9_Sgr300,171127,43v_abrf-like_Top20_CID-HCD,...
HeLa_171201_r1_Lgr,171201,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171204_Sgr200,171204,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171218_Sgr200,171218,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171218_Sgr201,171218,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171218_Sgr202,171218,43iv_abrf-like_Top20_CID-HCD,...
HeLa_171218_Sgr203,171218,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180103_Sgr200_r1,180103,43iv_abrf-like_Top20_CID-HCD,3th Jan 2017 
HeLa_180103_Sgr200_r2,180103,43iv_abrf-like_Top20_CID-HCD,3th Jan 2017 
HeLa_180103_Sgr200_r3,180103,43iv_abrf-like_Top20_CID-HCD,3th Jan 2017 
HeLa_180103_Sgr200_r4,180103,43iv_abrf-like_Top20_CID-HCD,3th Jan 2017 
HeLa_180104_Sgr200_r1,180104,43iv_abrf-like_Top20_CID-HCD,…
HeLa_180104_Sgr200_r2,180104,43iv_abrf-like_Top20_CID-HCD,…
HeLa_180105_Sgr200_r1,180105,43iv_abrf-like_Top20_CID-HCD,...pump service - check valves and seals on left nano pump replaced
HeLa_180105_Sgr200_r2,180105,43iv_abrf-like_Top20_CID-HCD,...pump service - check valves and seals on left nano pump replaced
HeLa_180105_Sgr200_r3,180105,43iv_abrf-like_Top20_CID-HCD,...pump service - check valves and seals on left nano pump replaced
HeLa_180105_Sgr200_r4,180105,43iv_abrf-like_Top20_CID-HCD,...pump service - check valves and seals on left nano pump replaced
HeLa_180105_Sgr200_r5,180105,43iv_abrf-like_Top20_CID-HCD,...pump service - check valves and seals on left nano pump replaced
HeLa_180105_Sgr200_r6,180105,43iv_abrf-like_Top20_CID-HCD,"...Peaks broad, eluting late, column outlet inside SS union broken."
HeLa_180108_Sgr200_r1,180108,43iv_abrf-like_Top20_CID-HCD,"...polished column outlet, still bad. Leak in the union?"
HeLa_180110_Sgr200_r1,180110,43iv_abrf-like_Top20_CID-HCD,"valve cleaned, old seal installed, valve bolts symmetrically tightened, Old Trap#23 with Col#13"
HeLa_180110_Sgr200_r2,180110,43iv_abrf-like_Top20_CID-HCD,NEW Trap#26 with Col#13
HeLa_180110_Sgr200_r3,180110,43iv_abrf-like_Top20_CID-HCD,
HeLa_180110_Sgr200_r4,180110,43iv_abrf-like_Top20_CID-HCD,
HeLa_180111_Sgr200_r1,180111,43iv_abrf-like_Top20_CID-HCD,"solvents topped approx 1:1 with fresh slovents, t26c13"
HeLa_180111_Sgr200_r2,180111,43iv_abrf-like_Top20_CID-HCD,"solvents topped approx 1:1 with fresh slovents, t26c13"
HeLa_180111_Sgr200_r3,180111,43iv_abrf-like_Top20_CID-HCD,"solvents topped approx 1:1 with fresh slovents, t26c13"
HeLa_180111_Sgr200_r4,180111,43iv_abrf-like_Top20_CID-HCD,"solvents topped approx 1:1 with fresh slovents, t26c13"
HeLa_180111_Sgr200_r5,180111,43iv_abrf-like_Top20_CID-HCD,"solvents topped approx 1:1 with fresh slovents, t26c13"
